rmse,mae,mape
0.3015579,0.043635838,14.059943
0.42007634,0.0747744,13.603133
0.52684146,0.10547114,16.084637
0.5983935,0.1298403,19.192627
0.64635205,0.1487878,21.974335
0.68478465,0.16436872,22.431599
0.71957153,0.17783543,23.567698
0.7507941,0.18953258,25.034273
0.7628107,0.19834134,26.670567
0.7759888,0.20615633,27.857647
