rmse,mae,mape
0.32883793,0.11381438,71.79556
0.43079332,0.1298044,58.10177
0.5267507,0.15477222,63.52181
0.59127223,0.17216358,63.624374
0.63631594,0.18685092,64.47097
0.67263854,0.19958615,63.086033
0.70661664,0.21145284,61.947792
0.73825943,0.22236033,63.040565
0.75873625,0.23037739,64.03804
0.7835437,0.2377156,63.65563
