rmse,mae,mape
0.30435508,0.04624044,12.819524
0.4261888,0.07981428,16.337738
0.53349197,0.10975842,14.4210415
0.6050995,0.13378641,17.157433
0.65309036,0.15279837,20.284685
0.6915628,0.16843258,20.679811
0.72621274,0.1820291,22.08169
0.7568946,0.19376342,23.511583
0.7740644,0.20277274,24.71095
0.79554313,0.21128671,25.659624
