rmse,mae,mape
0.30844405,0.046343554,13.247949
0.42839485,0.07864077,11.085707
0.53495634,0.10927945,14.225763
0.60624427,0.13324445,16.50028
0.65463614,0.15236148,19.599121
0.6935006,0.16812164,20.215971
0.72890973,0.18177132,21.773771
0.7613692,0.19364962,23.330168
0.7827766,0.20288217,24.853853
0.8083758,0.21156712,25.718037
