rmse,mae,mape
0.30307904,0.051611364,16.758991
0.4224621,0.08094426,14.713942
0.52844477,0.10986287,16.259716
0.59917253,0.1331504,18.751902
0.6439718,0.15151817,21.399931
0.67938757,0.1666265,21.831974
0.7095913,0.17951113,23.068748
0.7273892,0.18999434,24.588518
0.72579765,0.1970582,26.066212
0.7242121,0.20309022,26.95528
