rmse,mae,mape
0.3053664,0.04856645,11.160627
0.4263272,0.08121114,14.358246
0.5333833,0.11082397,16.387281
0.6055907,0.1346326,19.085642
0.6544951,0.15387145,21.743607
0.6946716,0.17000976,22.523066
0.7318586,0.18413353,23.597872
0.76655614,0.19665198,25.0734
0.7897485,0.20662495,26.49091
0.816116,0.21573377,27.488577
