rmse,mae,mape
0.30472907,0.04822616,11.87618
0.42593792,0.0804643,16.192167
0.5326417,0.10982376,14.339659
0.6038825,0.1333861,17.772781
0.6515135,0.15205918,20.175076
0.6900728,0.16758065,20.94399
0.725293,0.18105195,22.229723
0.7573322,0.19281983,23.693655
0.7780682,0.20196357,24.977741
0.80376047,0.2107275,25.880962
