rmse,mae,mape
0.3056927,0.05184696,17.160297
0.4261562,0.082094565,14.722962
0.5332754,0.111375466,16.240095
0.6046615,0.13521056,18.868109
0.6521646,0.15414704,21.669819
0.6898993,0.16975102,22.250128
0.72460055,0.18334481,23.51883
0.75545305,0.19511035,24.994133
0.7682439,0.20360897,26.344845
0.7827471,0.21140988,27.151257
